X 		 Y
 67.0	199.0	20
 1.0	2.0	20
 0.0	0.0	20
 -2.0	1.0	20
 182.0	39.0	25
 -66.0	-97.0	10
 -143.0	-165.0	0
 -91.0	-27.0	-15
 -29.0	2.0	-25
 82.0	184.0	-20
 45.0	100.0	-10
 14.0	28.0	0
 2.0	3.0	0
 -94.0	44.0	-10
 -49.0	10.0	-20
 -16.0	-11.0	-35
 0.0	2.0	-35
 0.0	-15.0	-40
 6.0	-15.0	-35
 293.0	-33.0	-5
 5.0	10.0	5
 -37.0	-7.0	-10
 -6.0	0.0	-20
 -3.0	1.0	-20
 -4.0	0.0	-20
 -3.0	-1.0	-20
 -2.0	0.0	-20
 -649.0	-479.0	0
 0.0	0.0	0
 608.0	799.0	0
 -159.0	113.0	-5
 85.0	252.0	0
 -15.0	65.0	-10
 -3.0	76.0	-10
 115.0	-314.0	0
 58.0	-263.0	0
 -305.0	-733.0	0
 85.0	-192.0	0
 50.0	4.0	10
 15.0	11.0	20
 7.0	3.0	30
 56.0	-6.0	35
 94.0	70.0	45
 46.0	26.0	55
 35.0	166.0	60
 -242.0	82.0	55
 1.0	43.0	55
 3.0	41.0	55
 3.0	107.0	55
 6.0	48.0	65
 -20.0	-230.0	0
 263.0	-84.0	-5
 -597.0	-271.0	0
 -128.0	122.0	-5
 -42.0	40.0	-15
 -14.0	13.0	-25
 -4.0	4.0	-25
 -1.0	1.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 0.0	0.0	-25
 331.0	116.0	0
 -331.0	-116.0	-5
 0.0	0.0	-5
 0.0	0.0	-5
 0.0	0.0	-5
 0.0	0.0	-5
 0.0	0.0	-5
 0.0	0.0	-5
 0.0	0.0	-5
 0.0	0.0	-5
 0.0	0.0	-5
 167.0	136.0	-5
 520.0	81.0	0
 29.0	298.0	0
 26.0	96.0	10
 8.0	0.0	20
 3.0	-2.0	20
 54.0	10.0	30
 369.0	-19.0	-5
 -110.0	28.0	-15
 -264.0	9.0	0
 -311.0	-203.0	0
 -491.0	-436.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 0.0	0.0	0
 193.0	227.0	0
 -193.0	-227.0	0
 178.0	218.0	0
 -2.0	0.0	0
 595.0	420.0	0
 19.0	15.0	10
 0.0	-444.0	0
 56.0	358.0	0
 85.0	85.0	10
 -587.0	-443.0	0
 -346.0	-209.0	0
 371.0	194.0	-5
 385.0	208.0	-5
 -407.0	-199.0	0
 -126.0	12.0	-5
 429.0	442.0	0
 -316.0	-209.0	0
 33.0	244.0	5
 -89.0	-34.0	-10
 -30.0	-13.0	-25
 -86.0	-213.0	0
 427.0	566.0	0
 679.0	482.0	0
 316.0	137.0	-5
 -372.0	-362.0	0
 -592.0	-238.0	0
 -204.0	-95.0	-10
 -47.0	-30.0	-25
 -110.0	-298.0	0
 -4.0	1.0	0
 414.0	-140.0	0
 -214.0	46.0	-5
 -31.0	20.0	-15
 -455.0	-36.0	-5
 20.0	-322.0	0
 6.0	-107.0	5
 2.0	-35.0	0
 0.0	-11.0	-5
 0.0	-5.0	-10
 218.0	200.0	-10
 123.0	419.0	0
 77.0	91.0	10
 -136.0	-238.0	0
